Hello, world!
num: 000000000000   result: 0000 0000 0000
num: 000000000011   result: 0000 0000 0011
num: 000000000110   result: 0000 0000 0110
num: 000000001001   result: 0000 0000 1001
num: 000000001100   result: 0000 0000 1100
num: 000000001111   result: 0000 0000 1111
num: 000000010010   result: 0000 0001 0010
num: 000000010101   result: 0000 0001 0101
num: 000000011000   result: 0000 0001 1000
num: 000000011011   result: 0000 0001 1011
num: 000000011110   result: 0000 0001 1110
num: 000000100001   result: 0000 0010 0001
num: 000000100100   result: 0000 0010 0100
num: 000000100111   result: 0000 0010 0111
num: 000000101010   result: 0000 0010 1010
num: 000000101101   result: 0000 0010 1101
num: 000000110000   result: 0000 0011 0000
num: 000000110011   result: 0000 0011 0011
num: 000000110110   result: 0000 0011 0110
num: 000000111001   result: 0000 0011 1001
num: 000000111100   result: 0000 0011 1100
num: 000000111111   result: 0000 0011 1111
num: 000001000010   result: 0000 0100 0010
num: 000001000101   result: 0000 0100 0101
num: 000001001000   result: 0000 0100 1000
num: 000001001011   result: 0000 0100 1011
num: 000001001110   result: 0000 0100 1110
num: 000001010001   result: 0000 0101 0001
num: 000001010100   result: 0000 0101 0100
num: 000001010111   result: 0000 0101 0111
num: 000001011010   result: 0000 0101 1010
num: 000001011101   result: 0000 0101 1101
num: 000001100000   result: 0000 0110 0000
num: 000001100011   result: 0000 0110 0011
num: 000001100110   result: 0000 0110 0110
num: 000001101001   result: 0000 0110 1001
num: 000001101100   result: 0000 0110 1100
num: 000001101111   result: 0000 0110 1111
num: 000001110010   result: 0000 0111 0010
num: 000001110101   result: 0000 0111 0101
num: 000001111000   result: 0000 0111 1000
num: 000001111011   result: 0000 0111 1011
num: 000001111110   result: 0000 0111 1110
num: 000010000001   result: 0000 1000 0001
num: 000010000100   result: 0000 1000 0100
num: 000010000111   result: 0000 1000 0111
num: 000010001010   result: 0000 1000 1010
num: 000010001101   result: 0000 1000 1101
num: 000010010000   result: 0000 1001 0000
num: 000010010011   result: 0000 1001 0011
num: 000010010110   result: 0000 1001 0110
num: 000010011001   result: 0000 1001 1001
num: 000010011100   result: 0000 1001 1100
num: 000010011111   result: 0000 1001 1111
num: 000010100010   result: 0000 1010 0010
num: 000010100101   result: 0000 1010 0101
